시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자,
송강시장,상설장,대전광역시 유성구 구즉로 74-7,대전광역시 유성구 송강동 49-10,매일,36.435131,127.386659,88,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,Y,Y,2000,042-934-6863,2018-02-19,
송촌시장,상설장,대전광역시 대덕구 송촌동 476,대전광역시 대덕구 송촌동 476-1,매일,36.364478,127.439899,73,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,,Y,Y,2000,042-626-5778,2018-02-19,
중리시장,상설장,대전광역시 대덕구 중리동 370,대전광역시 대덕구 중리동 368-7,매일,36.365316,127.425801,213,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,www.jungni-market.kr,Y,Y,1988,070-8732-1042,2018-02-19,
법동시장,상설장,대전광역시 대덕구 법동 199,대전광역시 대덕구 법2동 199,매일,36.367216,127.430958,62,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,,Y,Y,1995,042-627-2123,2018-02-19,
신탄진시장,상설장,대전광역시 대덕구 석봉동 417,대전광역시 대덕구 석봉동 417,5일,36.448872,127.426263,122,"농산물, 생필품, 수산물, 축산물, 잡화",온누리상품권,,Y,Y,2002,042-931-0310,2018-02-19,
오정동상점가,상설장,대전광역시 대덕구 오정동 86,대전광역시 대덕구 오정동 87-2,매일,36.354173,127.409122,720,공구·식당·철물 등,온누리상품권,,N,N,2005,042-672-0005,2018-02-19,
송촌동상점가,상설장,대전광역시 대덕구 계족산로 81번길 54,대전광역시 대덕구 송촌동 459-6,매일,36.365524,127.439031,870,"생필품, 요식업 등",온누리상품권,,Y,Y,2016,000-000-0000,2018-02-19,
서남신시장,상설장,대구광역시 달서구 달구벌대로329길 10,대구광역시 달서구 감삼동 62-4,매일,35.854077,128.545928,114,,온누리상품권,,Y,Y,2006,053-562-1222,2018-02-13,
부전기장골목시장,상설장,부산광역시 부산진구 중앙대로775번길 21,부산광역시 부산진구 부전동 341-70,매일,35.1622011,129.0612531,61,"수산물,농산물등",,,n,n,1950,051-806-1245,2018-02-01,
양정전통시장,상설장,부산광역시 부산진구 동평로406번길 39,부산광역시 부산진구 양정동 389-9,매일,35.1721477,129.0691979,96,"과일,채소등",,,n,n,1970,051-896-0009,2018-02-01,
연지시장,상설장,부산광역시 부산진구 연지로 7-1,부산광역시 부산진구 연지동 179-5,매일,35.1707721,129.0507531,83,"과일,채소등",,,n,n,1970,,2018-02-01,
동평새시장,상설장,부산광역시 부산진구 동평로95번길 7-1,부산광역시 부산진구 당감동 282-68,매일,35.1659241,129.0397761,64,"과일,채소,의류등",,,n,n,1970,051-896-0366,2018-02-01,
당감새시장,상설장,부산광역시 부산진구 백양대로60번길 56,부산광역시 부산진구 당감동 292-127,매일,35.1648521,129.0422261,133,"과일,채소,어류등","온누리상품권, 전자상품권",,n,n,2007,051-897-6548,2018-02-01,
전포놀이터시장,상설장,부산광역시 부산진구 서전로67번길 26,부산광역시 부산진구 전포동 197-6,매일,35.1589441,129.0670911,80,"과일,채소,잡화 등","온누리상품권, 전자상품권",,n,n,1972,051-818-2212,2018-02-01,
개금골목시장,상설장,부산광역시 부산진구 가야공원로14번길 85,부산광역시 부산진구 개금동 173-5,매일,35.1518901,129.0249051,114,"과일,채소,잡화등","온누리상품권, 전자상품권",,n,n,1975,051-892-2606,2018-02-01,
당감골목시장,상설장,부산광역시 부산진구 당감로16번길 39-2,부산광역시 부산진구 당감동 238-89,매일,35.1638651,129.0417501,115,"과일,채소,잡화등","온누리상품권, 전자상품권",,n,n,1973,051-897-5992,2018-02-01,
골드테마거리,상설장,부산광역시 부산진구 범일로 134,부산광역시 부산진구 범천동 836-1,매일,35.1420981,129.0599211,490,"귀금속,보석류","온누리상품권, 전자상품권",http://www.goldthemest.com/,n,n,1998,051-633-3275,2018-02-01,
부전상가,상설장,부산광역시 부산진구 중앙대로755번길 21,부산광역시 부산진구 부전동 265-25,매일,35.1603451,129.0595691,704,농수축산물,"온누리상품권, 전자상품권",,y,n,1950,051-818-9454,2018-02-01,
부전농수산물새벽시장,상설장,부산광역시 부산진구 부전로 156,부산광역시 부산진구 부전동 347-1,매일,35.1622541,129.0583181,510,청과물 도매,"온누리상품권, 전자상품권",,n,n,1950,051-802-8251,2018-02-01,
월성청구,상설장,대구광역시 달서구 학산로 17,대구광역시 달서구 월성동 89-2,매일,35.827529,128.531119,24,,온누리상품권,,Y,Y,1993,,2018-02-13,
국제상가,상설장,부산광역시 부산진구 백양관문로 104-1,부산광역시 부산진구 당감동 791,매일,35.1684981,129.0283231,99,"과일,채소,잡화등",,,y,y,1995,051-895-9447,2018-02-01,
양정시장,상설장,부산광역시 부산진구 동평로420번길 18,부산광역시 부산진구 양정동 390,매일,35.1727501,129.0698091,145,"꽃,의류,활어 등","온누리상품권, 전자상품권",,y,y,1971,051-852-3465,2018-02-01,
가야벽산상가,상설장,부산광역시 부산진구 엄광로 68,부산광역시 부산진구 가야동 669-9,매일,35.1471355,129.0237381,61,"과일,채소,잡화등",,,y,y,1990,051-894-9490,2018-02-01,
서면지하상가,상설장,부산광역시 부산진구 중앙대로 지하 717,부산광역시 부산진구 부전동 573-1,매일,35.1593427,129.0603893,326,"의류,신발,잡화등",온누리상품권,http://undershop.bisco.or.kr/,y,n,1985,051-805-1782,2018-02-01,
가남종합시장,상설장,부산광역시 부산진구 대학로 66,부산광역시 부산진구 가야동 450-2,매일,35.1501681,129.0342571,2,잡화 등,,,y,n,1982,051-893-9513,2018-02-01,
대현프리몰부산점,상설장,부산광역시 부산진구 중앙대로 지하 717,부산광역시 부산진구 부전동 573-1,매일,35.1559829,129.0591467,320,"의류,신발,잡화등",,http://www.primall.co.kr/busan/,y,n,1982,051-802-8881,2018-02-01,
창곡종합시장,상설장,부산광역시 부산진구 새싹로 237,부산광역시 부산진구 초읍동 271-1,매일,35.1773483,129.0479169,50,"과일,채소,잡화등",,,y,y,1981,051-809-2191,2018-02-01,
부산전자종합시장,상설장,부산광역시 부산진구 부전로 196,부산광역시 부산진구 부전동 29,매일,35.1638081,129.0622771,135,가전제품류,"온누리상품권, 전자상품권",http://www.busantechnos.co.kr/,y,y,1981,051-809-0863,2018-02-01,
서면중앙시장,상설장,부산광역시 부산진구 동성로 143,부산광역시 부산진구 전포동 608-1,매일,35.1608551,129.0633141,341,"기계부속품,서점",,,y,y,1981,051-803-9884,2018-02-01,
새당감시장,상설장,부산광역시 부산진구 동평로44번길 46,부산광역시 부산진구 당감동 479-9,매일,35.1640411,129.0355321,36,"과일,채소,잡화등",,,y,n,1981,051-898-3642,2018-02-01,
서면종합시장,상설장,부산광역시 부산진구 부전로162번길 28,부산광역시 부산진구 부전동 347-40,매일,35.1619151,129.0590011,234,"농수산물,악기류","온누리상품권, 전자상품권",,y,y,1980,051-809-7816,2018-02-01,
초읍시장,상설장,부산광역시 부산진구 성지로83번길 11,부산광역시 부산진구 초읍동 225,매일,35.1774401,129.0530681,64,"과일,채소,잡화등",온누리상품권,,y,n,1980,051-809-0636,2018-02-01,
성곡종합시장,상설장,부산광역시 부산진구 새싹로 207-6,부산광역시 부산진구 초읍동271-6,매일,35.1748011,129.0482701,42,"과일,채소,잡화등",,,y,n,1978,051-809-0636,2018-02-01,
종합새시장,상설장,부산광역시 부산진구 냉정로160번길 26,부산광역시 부산진구 개금동 614-1,매일,35.1485281,129.0172961,70,,,,y,n,1978,051-892-8275,2018-02-01,
개금큰시장,상설장,부산광역시 부산진구 엄광로 15,부산광역시 부산진구 개금동 615-20,매일,35.1485211,129.0181111,25,"생선,건어물 등",,,y,n,1978,051-894-1271,2018-02-01,
부전인삼시장,상설장,부산광역시 부산진구 중앙대로783번길 23,부산광역시 부산진구 부전동 573-3,매일,35.1628421,129.0612971,76,"인삼,홍삼 등","온누리상품권, 전자상품권",,y,n,1978,051-819-4070,2018-02-01,
동아종합시장,상설장,부산광역시 부산진구 가야대로 497,부산광역시 부산진구 개금동 156-2,매일,35.1536681,129.0268131,130,컴퓨터 등,,,y,y,1977,051-893-1203,2018-02-01,
수양시장,상설장,부산광역시 부산진구 진사로 63-7,부산광역시 부산진구 개금동 632-3,매일,35.1458061,129.0168571,25,철물점 등,,,y,y,1975,051-802-7070,2018-02-01,
부전시장,상설장,부산광역시 부산진구 중앙대로783번길 23,부산광역시 부산진구 부전동 573,매일,35.1628421,129.0612971,344,농수축산물외 생필품,"온누리상품권, 전자상품권",,y,n,1975,051-818-1091,2018-02-01,
당감시장,상설장,부산광역시 부산진구 백양로60번길 39-9,부산광역시 부산진구 당감동 238-89,매일,35.1638651,129.0417501,43,농수축산물,"온누리상품권, 전자상품권",,y,n,1972,051-895-8297,2018-02-01,
서면시장,상설장,부산광역시 부산진구 서면로 56,부산광역시 부산진구 부전동 256-6,매일,35.1559976,129.0581502,210,농수축산물,"온누리상품권, 전자상품권",,y,n,1972,051-806-5025,2018-02-01,
가야시장,상설장,부산광역시 부산진구 가야대로 667,,매일,35.1565485,129.0447265,53,잡화(생필품)등,,,y,n,1971,051-892-8796,2018-02-01,
부산평화시장,상설장,부산광역시 부산진구 자유평화로 7,부산광역시 부산진구 범천동 839-52,매일,35.1419969,129.0609702,540,"의류,신발등","온누리상품권, 전자상품권",http://www.bsph.kr/,y,n,1970,051-646-6561,2018-02-01,
봉일시장,상설장,서울특별시 관악구 은천로 28,서울특별시 관악구 은천동 951-25,매일,37.4850831667,126.952728894,35,농·수산물 등,온누리상품권,bongilplaza.co.kr,Y,Y,1971,02-874-1500,2018-01-01,
봉천현대시장,상설장,서울특별시 관악구 양녕로 49,서울특별시 관악구 은천동 502-4,매일,37.4841664044,126.949495792,33,농·수산물 등,온누리상품권,,Y,Y,1972,02-882-0492,2018-01-01,
봉천제일종합시장,상설장,서울특별시 관악구 청룡2길 29,서울특별시 관악구 청룡동 921-1,매일,37.481248459,126.944414518,48,농·수산물 등,,,Y,N,1976,02-878-8881,2018-01-01,
봉천중앙시장,상설장,서울특별시 관악구 관악로 211,서울특별시 관악구 중앙동 32-2,매일,37.4841972026,126.954325942,36,농·수산물 등,온누리상품권,,Y,Y,1969,02-876-5574,2018-01-01,
신림종합시장,상설장,서울특별시 관악구 남부순환로157길 63,서울특별시 관악구 신사동 505-1,매일,37.4846454683,126.917095147,25,농·수산물 등,온누리상품권,,Y,N,1977,02-856-4556,2018-01-01,
신신림시장,상설장,서울특별시 관악구 원신2길 34,서울특별시 관악구 삼성동 390-1,매일,37.470660593,126.93214563,11,농·수산물 등,온누리상품권,,Y,N,1971,,2018-01-01,
신림중앙시장,상설장,서울특별시 관악구 조원로16길 27,서울특별시 관악구 조원동 541,매일,37.4831456768,126.911420982,140,농·수산물 등,,,Y,Y,1978,,2018-01-01,
원당종합시장,상설장,서울특별시 관악구 남부순환로248길 35,서울특별시 관악구 인헌동 1638-20,매일,37.4744161519,126.965908322,7,농·수산물 등,온누리상품권,,Y,N,1980,02-888-0930,2018-01-01,
우림시장,상설장,서울특별시 관악구 난곡로26길 4,서울특별시 관악구 난곡동 637-1,매일,37.4702964937,126.920443558,17,농·수산물 등,온누리상품권,,Y,N,1977,02-853-1866,2018-01-01,
관악종합시장,상설장,서울특별시 관악구 신원로 23,서울특별시 관악구 신원동 1602-1,매일,37.4817283471,126.925740833,57,농·수산물 등,온누리상품권,,Y,N,1996,02-856-4355,2018-01-01,
